class 名稱,分類,樣式（全部值）,使用範例
text-center,文字,text-align:center,"class=""text-center"""
text-char-name,文字,color:var(--color-char-name),"class=""text-char-name"""
text-creator,文字,color:var(--color-creator),"class=""text-creator"""
text-cyan-400,文字,color:var(--color-cyan-400),"class=""text-cyan-400"""
text-dgray-100,文字,color:var(--color-dgray-100),"class=""text-dgray-100"""
text-dgray-200,文字,color:var(--color-dgray-200),"class=""text-dgray-200"""
text-dgray-300,文字,color:var(--color-dgray-300),"class=""text-dgray-300"""
text-dgray-400,文字,color:var(--color-dgray-400),"class=""text-dgray-400"""
text-dgray-50,文字,color:var(--color-dgray-50),"class=""text-dgray-50"""
text-dgray-500,文字,color:var(--color-dgray-500),"class=""text-dgray-500"""
text-dgray-600,文字,color:var(--color-dgray-600),"class=""text-dgray-600"""
text-dgray-700,文字,color:var(--color-dgray-700),"class=""text-dgray-700"""
text-dgray-800,文字,color:var(--color-dgray-800),"class=""text-dgray-800"""
text-dgray-900,文字,color:var(--color-dgray-900),"class=""text-dgray-900"""
text-dgray-black,文字,color:var(--color-dgray-black),"class=""text-dgray-black"""
text-dgray-white,文字,color:var(--color-dgray-white),"class=""text-dgray-white"""
text-duck-pink1,文字,color:var(--color-duck-pink1),"class=""text-duck-pink1"""
text-duck-pink2,文字,color:var(--color-duck-pink2),"class=""text-duck-pink2"""
text-duck-yellow,文字,color:var(--color-duck-yellow),"class=""text-duck-yellow"""
text-ellipsis,文字,text-overflow:ellipsis,"class=""text-ellipsis"""
text-emerald-300,文字,color:var(--color-emerald-300),"class=""text-emerald-300"""
text-emerald-400,文字,color:var(--color-emerald-400),"class=""text-emerald-400"""
text-emerald-500,文字,color:var(--color-emerald-500),"class=""text-emerald-500"""
text-error,文字,color:var(--color-error),"class=""text-error"""
text-foreground,文字,color:var(--color-foreground),"class=""text-foreground"""
text-gray-100,文字,color:var(--color-gray-100),"class=""text-gray-100"""
text-gray-200,文字,color:var(--color-gray-200),"class=""text-gray-200"""
text-gray-300,文字,color:var(--color-gray-300),"class=""text-gray-300"""
text-gray-400,文字,color:var(--color-gray-400),"class=""text-gray-400"""
text-gray-500,文字,color:var(--color-gray-500),"class=""text-gray-500"""
text-gray-600,文字,color:var(--color-gray-600),"class=""text-gray-600"""
text-gray-700,文字,color:var(--color-gray-700),"class=""text-gray-700"""
text-gray-800,文字,color:var(--color-gray-800),"class=""text-gray-800"""
text-gray-900,文字,color:var(--color-gray-900),"class=""text-gray-900"""
text-green-300,文字,color:var(--color-green-300),"class=""text-green-300"""
text-green-400,文字,color:var(--color-green-400),"class=""text-green-400"""
text-green-500,文字,color:var(--color-green-500),"class=""text-green-500"""
text-green-600,文字,color:var(--color-green-600),"class=""text-green-600"""
text-green-800,文字,color:var(--color-green-800),"class=""text-green-800"""
text-heading-medium,文字,font-size:var(--text-heading-medium),"class=""text-heading-medium"""
text-indigo-400,文字,color:var(--color-indigo-400),"class=""text-indigo-400"""
text-nowrap,文字,text-wrap:nowrap,"class=""text-nowrap"""
text-official-creator,文字,color:var(--color-official-creator),"class=""text-official-creator"""
text-orange-400,文字,color:var(--color-orange-400),"class=""text-orange-400"""
text-orange-500,文字,color:var(--color-orange-500),"class=""text-orange-500"""
text-pink-400,文字,color:var(--color-pink-400),"class=""text-pink-400"""
text-pink-500,文字,color:var(--color-pink-500),"class=""text-pink-500"""
text-pink-700,文字,color:var(--color-pink-700),"class=""text-pink-700"""
text-pretty,文字,text-wrap:pretty,"class=""text-pretty"""
text-primary,文字,color:var(--color-primary),"class=""text-primary"""
text-purple-300,文字,color:var(--color-purple-300),"class=""text-purple-300"""
text-purple-400,文字,color:var(--color-purple-400),"class=""text-purple-400"""
text-purple-500,文字,color:var(--color-purple-500),"class=""text-purple-500"""
text-red-300,文字,color:var(--color-red-300),"class=""text-red-300"""
text-red-400,文字,color:var(--color-red-400),"class=""text-red-400"""
text-red-500,文字,color:var(--color-red-500),"class=""text-red-500"""
text-red-600,文字,color:var(--color-red-600),"class=""text-red-600"""
text-red-700,文字,color:var(--color-red-700),"class=""text-red-700"""
text-red-800,文字,color:var(--color-red-800),"class=""text-red-800"""
text-rose-300,文字,color:var(--color-rose-300),"class=""text-rose-300"""
text-rose-400,文字,color:var(--color-rose-400),"class=""text-rose-400"""
text-rose-500,文字,color:var(--color-rose-500),"class=""text-rose-500"""
text-teal-400,文字,color:var(--color-teal-400),"class=""text-teal-400"""
text-white,文字,color:var(--color-white),"class=""text-white"""
text-yellow-300,文字,color:var(--color-yellow-300),"class=""text-yellow-300"""
text-yellow-400,文字,color:var(--color-yellow-400),"class=""text-yellow-400"""
text-yellow-500,文字,color:var(--color-yellow-500),"class=""text-yellow-500"""
text-yellow-600,文字,color:var(--color-yellow-600),"class=""text-yellow-600"""
text-zinc-100,文字,color:var(--color-zinc-100),"class=""text-zinc-100"""
text-zinc-200,文字,color:var(--color-zinc-200),"class=""text-zinc-200"""
text-zinc-300,文字,color:var(--color-zinc-300),"class=""text-zinc-300"""
text-zinc-400,文字,color:var(--color-zinc-400),"class=""text-zinc-400"""
text-zinc-500,文字,color:var(--color-zinc-500),"class=""text-zinc-500"""
transition-colors,文字,"transition-property:color,background-color,border-color,outline-color,text-decoration-color,fill,stroke,--tw-gradient-from,--tw-gradient-via,--tw-gradient-to; transition-timing-function:var(--tw-ease,var(--default-transition-timing-function)); transition-duration:var(--tw-duration,var(--default-tran","class=""transition-colors"""
underline,文字,text-decoration-line:underline,"class=""underline"""
underline-offset-2,文字,text-underline-offset:2px,"class=""underline-offset-2"""
underline-offset-4,文字,text-underline-offset:4px,"class=""underline-offset-4"""
uppercase,文字,text-transform:uppercase,"class=""uppercase"""
backdrop-blur,濾鏡,--tw-backdrop-blur:blur(8px),"class=""backdrop-blur"""
backdrop-blur-sm,濾鏡,--tw-backdrop-blur:blur(var(--blur-sm)),"class=""backdrop-blur-sm"""
blur,濾鏡,--tw-blur:blur(8px),"class=""blur"""
blur-md,濾鏡,--tw-blur:blur(var(--blur-md)),"class=""blur-md"""
-rotate-90,變形,rotate:-90deg,"class=""-rotate-90"""
grayscale,變形,"--tw-grayscale:grayscale(100%) | filter:var(--tw-blur,)var(--tw-brightness,)var(--tw-contrast,)var(--tw-grayscale,)var(--tw-hue-rotate,)var(--tw-invert,)var(--tw-saturate,)var(--tw-sepia,)var(--tw-drop-shadow,)","class=""grayscale"""
rotate-0,變形,rotate:none,"class=""rotate-0"""
rotate-180,變形,rotate:180deg,"class=""rotate-180"""
rotate-90,變形,rotate:90deg,"class=""rotate-90"""
scale-100,變形,--tw-scale-x:100%; --tw-scale-y:100%; --tw-scale-z:100%,"class=""scale-100"""
scale-75,變形,--tw-scale-x:75%; --tw-scale-y:75%; --tw-scale-z:75% | scale:var(--tw-scale-x)var(--tw-scale-y),"class=""scale-75"""
transform,變形,"transform:var(--tw-rotate-x,)var(--tw-rotate-y,)var(--tw-rotate-z,)var(--tw-skew-x,)var(--tw-skew-y,)","class=""transform"""
transition-transform,變形,"transition-property:transform,translate,scale,rotate; transition-timing-function:var(--tw-ease,var(--default-transition-timing-function)); transition-duration:var(--tw-duration,var(--default-transition-duration))","class=""transition-transform"""
translate-x-0,變形,--tw-translate-x:calc(var(--spacing)*0),"class=""translate-x-0"""
translate-x-4,變形,--tw-translate-x:calc(var(--spacing)*4),"class=""translate-x-4"""
zoom-in,變形,--tw-enter-scale:0,"class=""zoom-in"""
zoom-in-95,變形,--tw-enter-scale:.95,"class=""zoom-in-95"""
zoom-out,變形,--tw-exit-scale:0,"class=""zoom-out"""
-m-2,間距,margin:calc(var(--spacing)*-2),"class=""-m-2"""
25,間距,gap:calc(var(--spacing)*2.25),"class=""25"""
gap-0,間距,gap:calc(var(--spacing)*0),"class=""gap-0"""
gap-1,間距,gap:calc(var(--spacing)*1),"class=""gap-1"""
gap-10,間距,gap:calc(var(--spacing)*10),"class=""gap-10"""
gap-12,間距,gap:calc(var(--spacing)*12),"class=""gap-12"""
gap-2,間距,gap:calc(var(--spacing)*2),"class=""gap-2"""
gap-3,間距,gap:calc(var(--spacing)*3),"class=""gap-3"""
gap-4,間距,gap:calc(var(--spacing)*4),"class=""gap-4"""
gap-5,間距,gap:calc(var(--spacing)*5),"class=""gap-5"""
gap-6,間距,gap:calc(var(--spacing)*6),"class=""gap-6"""
gap-7,間距,gap:calc(var(--spacing)*7),"class=""gap-7"""
gap-8,間距,gap:calc(var(--spacing)*8),"class=""gap-8"""
gap-9,間距,gap:calc(var(--spacing)*9),"class=""gap-9"""
gap-x-1,間距,column-gap:calc(var(--spacing)*1),"class=""gap-x-1"""
gap-x-2,間距,column-gap:calc(var(--spacing)*2),"class=""gap-x-2"""
gap-x-6,間距,column-gap:calc(var(--spacing)*6),"class=""gap-x-6"""
gap-y-1,間距,row-gap:calc(var(--spacing)*1),"class=""gap-y-1"""
gap-y-2,間距,row-gap:calc(var(--spacing)*2),"class=""gap-y-2"""
gap-y-3,間距,row-gap:calc(var(--spacing)*3),"class=""gap-y-3"""
m-0,間距,margin:calc(var(--spacing)*0),"class=""m-0"""
m-1,間距,margin:calc(var(--spacing)*1),"class=""m-1"""
m-2,間距,margin:calc(var(--spacing)*2),"class=""m-2"""
m-3,間距,margin:calc(var(--spacing)*3),"class=""m-3"""
m-4,間距,margin:calc(var(--spacing)*4),"class=""m-4"""
m-auto,間距,margin:auto,"class=""m-auto"""
p-0,間距,padding:calc(var(--spacing)*0),"class=""p-0"""
p-1,間距,padding:calc(var(--spacing)*1),"class=""p-1"""
p-2,間距,padding:calc(var(--spacing)*2),"class=""p-2"""
p-3,間距,padding:calc(var(--spacing)*3),"class=""p-3"""
p-4,間距,padding:calc(var(--spacing)*4),"class=""p-4"""
p-5,間距,padding:calc(var(--spacing)*5),"class=""p-5"""
p-6,間距,padding:calc(var(--spacing)*6),"class=""p-6"""
p-8,間距,padding:calc(var(--spacing)*8),"class=""p-8"""
accent-current,顏色/背景/邊框,accent-color:currentColor,"class=""accent-current"""
accent-primary,顏色/背景/邊框,accent-color:var(--color-primary),"class=""accent-primary"""
bg-amber-100,顏色/背景/邊框,background-color:var(--color-amber-100),"class=""bg-amber-100"""
bg-amber-500,顏色/背景/邊框,background-color:var(--color-amber-500),"class=""bg-amber-500"""
bg-background,顏色/背景/邊框,background-color:var(--color-background),"class=""bg-background"""
bg-background-500,顏色/背景/邊框,background-color:var(--color-background-500),"class=""bg-background-500"""
bg-background-700,顏色/背景/邊框,background-color:var(--color-background-700),"class=""bg-background-700"""
bg-background-900,顏色/背景/邊框,background-color:var(--color-background-900),"class=""bg-background-900"""
bg-black,顏色/背景/邊框,background-color:var(--color-black),"class=""bg-black"""
bg-blue-100,顏色/背景/邊框,background-color:var(--color-blue-100),"class=""bg-blue-100"""
bg-blue-400,顏色/背景/邊框,background-color:var(--color-blue-400),"class=""bg-blue-400"""
bg-blue-500,顏色/背景/邊框,background-color:var(--color-blue-500),"class=""bg-blue-500"""
bg-blue-600,顏色/背景/邊框,background-color:var(--color-blue-600),"class=""bg-blue-600"""
bg-blue-700,顏色/背景/邊框,background-color:var(--color-blue-700),"class=""bg-blue-700"""
bg-cover,顏色/背景/邊框,background-size:cover,"class=""bg-cover"""
bg-current,顏色/背景/邊框,background-color:currentColor,"class=""bg-current"""
bg-cyan-400,顏色/背景/邊框,background-color:var(--color-cyan-400),"class=""bg-cyan-400"""
bg-cyan-500,顏色/背景/邊框,background-color:var(--color-cyan-500),"class=""bg-cyan-500"""
bg-dgray-100,顏色/背景/邊框,background-color:var(--color-dgray-100),"class=""bg-dgray-100"""
bg-dgray-200,顏色/背景/邊框,background-color:var(--color-dgray-200),"class=""bg-dgray-200"""
bg-dgray-400,顏色/背景/邊框,background-color:var(--color-dgray-400),"class=""bg-dgray-400"""
bg-dgray-50,顏色/背景/邊框,background-color:var(--color-dgray-50),"class=""bg-dgray-50"""
bg-dgray-500,顏色/背景/邊框,background-color:var(--color-dgray-500),"class=""bg-dgray-500"""
bg-dgray-600,顏色/背景/邊框,background-color:var(--color-dgray-600),"class=""bg-dgray-600"""
bg-dgray-700,顏色/背景/邊框,background-color:var(--color-dgray-700),"class=""bg-dgray-700"""
bg-dgray-800,顏色/背景/邊框,background-color:var(--color-dgray-800),"class=""bg-dgray-800"""
bg-dgray-900,顏色/背景/邊框,background-color:var(--color-dgray-900),"class=""bg-dgray-900"""
bg-dgray-white,顏色/背景/邊框,background-color:var(--color-dgray-white),"class=""bg-dgray-white"""
bg-duck-pink1,顏色/背景/邊框,background-color:var(--color-duck-pink1),"class=""bg-duck-pink1"""
bg-duck-pink2,顏色/背景/邊框,background-color:var(--color-duck-pink2),"class=""bg-duck-pink2"""
bg-duck-pink5,顏色/背景/邊框,background-color:var(--color-duck-pink5),"class=""bg-duck-pink5"""
bg-duck-yellow,顏色/背景/邊框,background-color:var(--color-duck-yellow),"class=""bg-duck-yellow"""
bg-foreground,顏色/背景/邊框,background-color:var(--color-foreground),"class=""bg-foreground"""
bg-gray-100,顏色/背景/邊框,background-color:var(--color-gray-100),"class=""bg-gray-100"""
bg-gray-200,顏色/背景/邊框,background-color:var(--color-gray-200),"class=""bg-gray-200"""
bg-gray-300,顏色/背景/邊框,background-color:var(--color-gray-300),"class=""bg-gray-300"""
bg-gray-400,顏色/背景/邊框,background-color:var(--color-gray-400),"class=""bg-gray-400"""
bg-gray-50,顏色/背景/邊框,background-color:var(--color-gray-50),"class=""bg-gray-50"""
bg-gray-500,顏色/背景/邊框,background-color:var(--color-gray-500),"class=""bg-gray-500"""
bg-gray-600,顏色/背景/邊框,background-color:var(--color-gray-600),"class=""bg-gray-600"""
bg-gray-700,顏色/背景/邊框,background-color:var(--color-gray-700),"class=""bg-gray-700"""
bg-gray-800,顏色/背景/邊框,background-color:var(--color-gray-800),"class=""bg-gray-800"""
bg-gray-900,顏色/背景/邊框,background-color:var(--color-gray-900),"class=""bg-gray-900"""
bg-green-100,顏色/背景/邊框,background-color:var(--color-green-100),"class=""bg-green-100"""
bg-green-400,顏色/背景/邊框,background-color:var(--color-green-400),"class=""bg-green-400"""
bg-green-500,顏色/背景/邊框,background-color:var(--color-green-500),"class=""bg-green-500"""
bg-green-600,顏色/背景/邊框,background-color:var(--color-green-600),"class=""bg-green-600"""
bg-green-700,顏色/背景/邊框,background-color:var(--color-green-700),"class=""bg-green-700"""
bg-inherit,顏色/背景/邊框,background-color:inherit,"class=""bg-inherit"""
bg-pink-100,顏色/背景/邊框,background-color:var(--color-pink-100),"class=""bg-pink-100"""
bg-pink-400,顏色/背景/邊框,background-color:var(--color-pink-400),"class=""bg-pink-400"""
bg-pink-50,顏色/背景/邊框,background-color:var(--color-pink-50),"class=""bg-pink-50"""
bg-pink-500,顏色/背景/邊框,background-color:var(--color-pink-500),"class=""bg-pink-500"""
bg-primary,顏色/背景/邊框,background-color:var(--color-primary),"class=""bg-primary"""
bg-purple-400,顏色/背景/邊框,background-color:var(--color-purple-400),"class=""bg-purple-400"""
bg-purple-500,顏色/背景/邊框,background-color:var(--color-purple-500),"class=""bg-purple-500"""
bg-red-100,顏色/背景/邊框,background-color:var(--color-red-100),"class=""bg-red-100"""
bg-red-400,顏色/背景/邊框,background-color:var(--color-red-400),"class=""bg-red-400"""
bg-red-50,顏色/背景/邊框,background-color:var(--color-red-50),"class=""bg-red-50"""
bg-red-500,顏色/背景/邊框,background-color:var(--color-red-500),"class=""bg-red-500"""
bg-red-600,顏色/背景/邊框,background-color:var(--color-red-600),"class=""bg-red-600"""
bg-red-700,顏色/背景/邊框,background-color:var(--color-red-700),"class=""bg-red-700"""
bg-red-900,顏色/背景/邊框,background-color:var(--color-red-900),"class=""bg-red-900"""
bg-rose-100,顏色/背景/邊框,background-color:var(--color-rose-100),"class=""bg-rose-100"""
bg-rose-200,顏色/背景/邊框,background-color:var(--color-rose-200),"class=""bg-rose-200"""
bg-rose-400,顏色/背景/邊框,background-color:var(--color-rose-400),"class=""bg-rose-400"""
bg-rose-50,顏色/背景/邊框,background-color:var(--color-rose-50),"class=""bg-rose-50"""
bg-secondary,顏色/背景/邊框,background-color:var(--color-secondary),"class=""bg-secondary"""
bg-transparent,顏色/背景/邊框,background-color:#0000,"class=""bg-transparent"""
bg-white,顏色/背景/邊框,background-color:var(--color-white),"class=""bg-white"""
bg-yellow-100,顏色/背景/邊框,background-color:var(--color-yellow-100),"class=""bg-yellow-100"""
bg-yellow-400,顏色/背景/邊框,background-color:var(--color-yellow-400),"class=""bg-yellow-400"""
bg-yellow-500,顏色/背景/邊框,background-color:var(--color-yellow-500),"class=""bg-yellow-500"""
bg-yellow-600,顏色/背景/邊框,background-color:var(--color-yellow-600),"class=""bg-yellow-600"""
bg-zinc-400,顏色/背景/邊框,background-color:var(--color-zinc-400),"class=""bg-zinc-400"""
bg-zinc-800,顏色/背景/邊框,background-color:var(--color-zinc-800),"class=""bg-zinc-800"""
bg-zinc-900,顏色/背景/邊框,background-color:var(--color-zinc-900),"class=""bg-zinc-900"""
bg-zinc-950,顏色/背景/邊框,background-color:var(--color-zinc-950),"class=""bg-zinc-950"""
border-background-500,顏色/背景/邊框,border-color:var(--color-background-500),"class=""border-background-500"""
border-background-700,顏色/背景/邊框,border-color:var(--color-background-700),"class=""border-background-700"""
border-background-900,顏色/背景/邊框,border-color:var(--color-background-900),"class=""border-background-900"""
border-black,顏色/背景/邊框,border-color:var(--color-black),"class=""border-black"""
border-blue-100,顏色/背景/邊框,border-color:var(--color-blue-100),"class=""border-blue-100"""
border-collapse,顏色/背景/邊框,border-collapse:collapse,"class=""border-collapse"""
border-dashed,顏色/背景/邊框,--tw-border-style:dashed; border-style:dashed,"class=""border-dashed"""
border-dgray-200,顏色/背景/邊框,border-color:var(--color-dgray-200),"class=""border-dgray-200"""
border-dgray-400,顏色/背景/邊框,border-color:var(--color-dgray-400),"class=""border-dgray-400"""
border-dgray-500,顏色/背景/邊框,border-color:var(--color-dgray-500),"class=""border-dgray-500"""
border-dgray-600,顏色/背景/邊框,border-color:var(--color-dgray-600),"class=""border-dgray-600"""
border-dgray-700,顏色/背景/邊框,border-color:var(--color-dgray-700),"class=""border-dgray-700"""
border-dgray-800,顏色/背景/邊框,border-color:var(--color-dgray-800),"class=""border-dgray-800"""
border-dgray-900,顏色/背景/邊框,border-color:var(--color-dgray-900),"class=""border-dgray-900"""
border-duck-pink1,顏色/背景/邊框,border-color:var(--color-duck-pink1),"class=""border-duck-pink1"""
border-duck-pink2,顏色/背景/邊框,border-color:var(--color-duck-pink2),"class=""border-duck-pink2"""
border-error,顏色/背景/邊框,border-color:var(--color-error),"class=""border-error"""
border-foreground,顏色/背景/邊框,border-color:var(--color-foreground),"class=""border-foreground"""
border-gray-100,顏色/背景/邊框,border-color:var(--color-gray-100),"class=""border-gray-100"""
border-gray-200,顏色/背景/邊框,border-color:var(--color-gray-200),"class=""border-gray-200"""
border-gray-300,顏色/背景/邊框,border-color:var(--color-gray-300),"class=""border-gray-300"""
border-gray-600,顏色/背景/邊框,border-color:var(--color-gray-600),"class=""border-gray-600"""
border-gray-700,顏色/背景/邊框,border-color:var(--color-gray-700),"class=""border-gray-700"""
border-gray-950,顏色/背景/邊框,border-color:var(--color-gray-950),"class=""border-gray-950"""
border-none,顏色/背景/邊框,--tw-border-style:none; border-style:none,"class=""border-none"""
border-pink-100,顏色/背景/邊框,border-color:var(--color-pink-100),"class=""border-pink-100"""
border-pink-200,顏色/背景/邊框,border-color:var(--color-pink-200),"class=""border-pink-200"""
border-pink-50,顏色/背景/邊框,border-color:var(--color-pink-50),"class=""border-pink-50"""
border-primary,顏色/背景/邊框,border-color:var(--color-primary),"class=""border-primary"""
border-red-200,顏色/背景/邊框,border-color:var(--color-red-200),"class=""border-red-200"""
border-red-500,顏色/背景/邊框,border-color:var(--color-red-500),"class=""border-red-500"""
border-solid,顏色/背景/邊框,--tw-border-style:solid; border-style:solid,"class=""border-solid"""
border-textarea-outline,顏色/背景/邊框,border-color:var(--color-textarea-outline),"class=""border-textarea-outline"""
border-transparent,顏色/背景/邊框,border-color:#0000,"class=""border-transparent"""
border-white,顏色/背景/邊框,border-color:var(--color-white),"class=""border-white"""
border-yellow-500,顏色/背景/邊框,border-color:var(--color-yellow-500),"class=""border-yellow-500"""
border-zinc-700,顏色/背景/邊框,border-color:var(--color-zinc-700),"class=""border-zinc-700"""
border-zinc-800,顏色/背景/邊框,border-color:var(--color-zinc-800),"class=""border-zinc-800"""
box-border,顏色/背景/邊框,box-sizing:border-box,"class=""box-border"""
caret-primary,顏色/背景/邊框,caret-color:var(--color-primary),"class=""caret-primary"""
character-info-content-overlay,顏色/背景/邊框,"background:linear-gradient(#1a1b1b00,#1a1b1b 57.89%) | background:linear-gradient(#26272700,#262727 57.89%) | background:linear-gradient(#fff0,#fff 57.89%) | background:linear-gradient(#d4d2d200,#d4d2d2 57.89%)","class=""character-info-content-overlay"""
drop-shadow,顏色/背景/邊框,"--tw-drop-shadow-size:drop-shadow(0 1px 2px var(--tw-drop-shadow-color,#0000001a))drop-shadow(0 1px 1px var(--tw-drop-shadow-color,#0000000f)); --tw-drop-shadow:drop-shadow(0 1px 2px #0000001a)drop-shadow(0 1px 1px #0000000f)","class=""drop-shadow"""
fade-in-0,顏色/背景/邊框,--tw-enter-opacity:0,"class=""fade-in-0"""
fill-amber-500,顏色/背景/邊框,fill:var(--color-amber-500),"class=""fill-amber-500"""
fill-current,顏色/背景/邊框,fill:currentColor,"class=""fill-current"""
fill-dgray-400,顏色/背景/邊框,fill:var(--color-dgray-400),"class=""fill-dgray-400"""
fill-dgray-900,顏色/背景/邊框,fill:var(--color-dgray-900),"class=""fill-dgray-900"""
fill-error,顏色/背景/邊框,fill:var(--color-error),"class=""fill-error"""
fill-foreground,顏色/背景/邊框,fill:var(--color-foreground),"class=""fill-foreground"""
fill-pink-700,顏色/背景/邊框,fill:var(--color-pink-700),"class=""fill-pink-700"""
fill-primary,顏色/背景/邊框,fill:var(--color-primary),"class=""fill-primary"""
fill-red-500,顏色/背景/邊框,fill:var(--color-red-500),"class=""fill-red-500"""
fill-white,顏色/背景/邊框,fill:var(--color-white),"class=""fill-white"""
fill-yellow-500,顏色/背景/邊框,fill:var(--color-yellow-500),"class=""fill-yellow-500"""
no-default-apperance,顏色/背景/邊框,appearance:none!important; background:0 0!important,"class=""no-default-apperance"""
opacity-0,顏色/背景/邊框,opacity:0,"class=""opacity-0"""
opacity-10,顏色/背景/邊框,opacity:.1,"class=""opacity-10"""
opacity-100,顏色/背景/邊框,opacity:1,"class=""opacity-100"""
opacity-15,顏色/背景/邊框,opacity:.15,"class=""opacity-15"""
opacity-20,顏色/背景/邊框,opacity:.2,"class=""opacity-20"""
opacity-25,顏色/背景/邊框,opacity:.25,"class=""opacity-25"""
opacity-30,顏色/背景/邊框,opacity:.3,"class=""opacity-30"""
opacity-35,顏色/背景/邊框,opacity:.35,"class=""opacity-35"""
opacity-40,顏色/背景/邊框,opacity:.4,"class=""opacity-40"""
opacity-45,顏色/背景/邊框,opacity:.45,"class=""opacity-45"""
opacity-5,顏色/背景/邊框,opacity:.05,"class=""opacity-5"""
opacity-50,顏色/背景/邊框,opacity:.5,"class=""opacity-50"""
opacity-60,顏色/背景/邊框,opacity:.6,"class=""opacity-60"""
opacity-70,顏色/背景/邊框,opacity:.7,"class=""opacity-70"""
opacity-80,顏色/背景/邊框,opacity:.8,"class=""opacity-80"""
opacity-90,顏色/背景/邊框,opacity:.9,"class=""opacity-90"""
outline-dgray-700,顏色/背景/邊框,outline-color:var(--color-dgray-700),"class=""outline-dgray-700"""
outline-error,顏色/背景/邊框,outline-color:var(--color-error),"class=""outline-error"""
outline-none,顏色/背景/邊框,--tw-outline-style:none; outline-style:none,"class=""outline-none"""
outline-textarea-outline,顏色/背景/邊框,outline-color:var(--color-textarea-outline),"class=""outline-textarea-outline"""
outline-transparent,顏色/背景/邊框,outline-color:#0000,"class=""outline-transparent"""
ring-offset-background,顏色/背景/邊框,--tw-ring-offset-color:var(--color-background),"class=""ring-offset-background"""
ring-offset-dgray-900,顏色/背景/邊框,--tw-ring-offset-color:var(--color-dgray-900),"class=""ring-offset-dgray-900"""
ring-primary,顏色/背景/邊框,--tw-ring-color:var(--color-primary),"class=""ring-primary"""
ring-red-500,顏色/背景/邊框,--tw-ring-color:var(--color-red-500),"class=""ring-red-500"""
ring-transparent,顏色/背景/邊框,--tw-ring-color:transparent,"class=""ring-transparent"""
ring-white,顏色/背景/邊框,--tw-ring-color:var(--color-white),"class=""ring-white"""
rounded,顏色/背景/邊框,border-radius:.25rem,"class=""rounded"""
rounded-2xl,顏色/背景/邊框,border-radius:var(--radius-2xl),"class=""rounded-2xl"""
rounded-3xl,顏色/背景/邊框,border-radius:var(--radius-3xl),"class=""rounded-3xl"""
rounded-full,顏色/背景/邊框,border-radius:3.40282e+38px,"class=""rounded-full"""
rounded-lg,顏色/背景/邊框,border-radius:var(--radius-lg),"class=""rounded-lg"""
rounded-md,顏色/背景/邊框,border-radius:var(--radius-md),"class=""rounded-md"""
rounded-none,顏色/背景/邊框,border-radius:0,"class=""rounded-none"""
rounded-sm,顏色/背景/邊框,border-radius:var(--radius-sm),"class=""rounded-sm"""
rounded-xl,顏色/背景/邊框,border-radius:var(--radius-xl),"class=""rounded-xl"""
shadow,顏色/背景/邊框,"--tw-shadow:0 1px 3px 0 var(--tw-shadow-color,#0000001a),0 1px 2px -1px var(--tw-shadow-color,#0000001a)","class=""shadow"""
shadow-black,顏色/背景/邊框,"--tw-shadow-color:#000 | --tw-shadow-color:color-mix(in oklab,var(--color-black)var(--tw-shadow-alpha),transparent)","class=""shadow-black"""
shadow-lg,顏色/背景/邊框,"--tw-shadow:0 10px 15px -3px var(--tw-shadow-color,#0000001a),0 4px 6px -4px var(--tw-shadow-color,#0000001a)","class=""shadow-lg"""
shadow-sm,顏色/背景/邊框,"--tw-shadow:0 1px 3px 0 var(--tw-shadow-color,#0000001a),0 1px 2px -1px var(--tw-shadow-color,#0000001a)","class=""shadow-sm"""
shadow-xs,顏色/背景/邊框,"--tw-shadow:0 1px 2px 0 var(--tw-shadow-color,#0000000d) | box-shadow:var(--tw-inset-shadow),var(--tw-inset-ring-shadow),var(--tw-ring-offset-shadow),var(--tw-ring-shadow),var(--tw-shadow)","class=""shadow-xs"""
swiper-button-disabled,顏色/背景/邊框,opacity:0; pointer-events:none,"class=""swiper-button-disabled"""
swiper-scrollbar-drag,顏色/背景/邊框,background:#fff; border-radius:9999px,"class=""swiper-scrollbar-drag"""
transition-opacity,顏色/背景/邊框,"transition-property:opacity; transition-timing-function:var(--tw-ease,var(--default-transition-timing-function)); transition-duration:var(--tw-duration,var(--default-transition-duration))","class=""transition-opacity"""
-mx-1,顯示/佈局,margin-inline:calc(var(--spacing)*-1),"class=""-mx-1"""
-mx-2,顯示/佈局,margin-inline:calc(var(--spacing)*-2),"class=""-mx-2"""
-mx-6,顯示/佈局,margin-inline:calc(var(--spacing)*-6),"class=""-mx-6"""
-my-1,顯示/佈局,margin-block:calc(var(--spacing)*-1),"class=""-my-1"""
-my-3,顯示/佈局,margin-block:calc(var(--spacing)*-3),"class=""-my-3"""
animate-shimmer,顯示/佈局,position:relative; overflow:hidden,"class=""animate-shimmer"""
block,顯示/佈局,display:block,"class=""block"""
border-y,顯示/佈局,border-block-style:var(--tw-border-style); border-block-width:1px,"class=""border-y"""
col-span-2,顯示/佈局,grid-column:span 2/span 2,"class=""col-span-2"""
content-start,顯示/佈局,align-content:flex-start,"class=""content-start"""
contents,顯示/佈局,display:contents,"class=""contents"""
flex,顯示/佈局,display:flex,"class=""flex"""
flex-1,顯示/佈局,flex:1,"class=""flex-1"""
flex-col,顯示/佈局,flex-direction:column,"class=""flex-col"""
