標籤,屬性選擇器,選擇器原文,狀態,主要樣式
"code, h1, h2, h3, h4, h5, h6",,".markdown-body h1 code,.markdown-body h1 tt,.markdown-body h2 code,.markdown-body h2 tt,.markdown-body h3 code,.markdown",✓ 支援,padding:0 .2em; font-size:inherit
"h1, h2, h3, h4, h5, h6, summary",,".markdown-body summary h1,.markdown-body summary h2,.markdown-body summary h3,.markdown-body summary h4,.markdown-body s",✓ 支援,display:inline-block
"h1, h2, h3, h4, h5, h6, summary",,".markdown-body summary h1 .anchor,.markdown-body summary h2 .anchor,.markdown-body summary h3 .anchor,.markdown-body sum",✓ 支援,margin-left:-40px
"h1, h2, summary",,".markdown-body summary h1,.markdown-body summary h2",✓ 支援,padding-bottom:0; border-bottom:0
"ol, ul",,".markdown-body ol.no-list,.markdown-body ul.no-list",✓ 支援,padding:0; list-style-type:none
"a, ol, s","type=""a s""",".markdown-body ol[type=""a s""]",✓ 支援,list-style-type:lower-alpha
"ol, s","type=""A s""",".markdown-body ol[type=""A s""]",✓ 支援,list-style-type:upper-alpha
"i, ol, s","type=""i s""",".markdown-body ol[type=""i s""]",✓ 支援,list-style-type:lower-roman
"ol, s","type=""I s""",".markdown-body ol[type=""I s""]",✓ 支援,list-style-type:upper-roman
"div, ol","type, type=""1""",".markdown-body div>ol:not([type]),.markdown-body ol[type=""1""]",✓ 支援,list-style-type:decimal
"ol, ul",,".markdown-body ol ol,.markdown-body ol ul,.markdown-body ul ol,.markdown-body ul ul",✓ 支援,margin-top:0; margin-bottom:0
"li, p",,.markdown-body li>p,✓ 支援,margin-top:var(--base-size-16)
li,,.markdown-body li+li,✓ 支援,margin-top:.25em
dl,,.markdown-body dl,✓ 支援,padding:0
"dl, dt",,.markdown-body dl dt,✓ 支援,"padding:0; margin-top:var(--base-size-16); font-size:1em; font-style:italic; font-weight:var(--base-text-weight-semibold,600)"
"dd, dl",,.markdown-body dl dd,✓ 支援,padding:0 var(--base-size-16); margin-bottom:var(--base-size-16)
"table, th",,.markdown-body table th,✓ 支援,"font-weight:var(--base-text-weight-semibold,600); background-color:var(--bgColor-neutural-muted)"
"table, td, th",,".markdown-body table td,.markdown-body table th",✓ 支援,padding:6px 13px; border:1px solid var(--borderColor-default)
"table, td",,.markdown-body table td>:last-child,✓ 支援,margin-bottom:0
"table, tr",,.markdown-body table tr,✓ 支援,background-color:var(--bgColor-default); border-top:1px solid var(--borderColor-muted)
"img, table",,.markdown-body table img,✓ 支援,background-color:transparent
img,align=right,.markdown-body img[align=right],✓ 支援,padding-left:20px
img,align=left,.markdown-body img[align=left],✓ 支援,padding-right:20px
span,,.markdown-body span.frame,✓ 支援,display:block; overflow:hidden
span,,.markdown-body span.frame>span,✓ 支援,display:block; float:left; width:auto; padding:7px; margin:13px 0 0; overflow:hidden; border:1px solid var(--borderColor-default)
"img, span",,.markdown-body span.frame span img,✓ 支援,display:block; float:left
span,,.markdown-body span.frame span span,✓ 支援,display:block; padding:5px 0 0; clear:both; color:var(--fgColor-default)
span,,.markdown-body span.align-center,✓ 支援,display:block; overflow:hidden; clear:both
span,,.markdown-body span.align-center>span,✓ 支援,display:block; margin:13px auto 0; overflow:hidden; text-align:center
"img, span",,.markdown-body span.align-center span img,✓ 支援,margin:0 auto; text-align:center
span,,.markdown-body span.align-right,✓ 支援,display:block; overflow:hidden; clear:both
span,,.markdown-body span.align-right>span,✓ 支援,display:block; margin:13px 0 0; overflow:hidden; text-align:right
"img, span",,.markdown-body span.align-right span img,✓ 支援,margin:0; text-align:right
span,,.markdown-body span.float-left,✓ 支援,display:block; float:left; margin-right:13px; overflow:hidden
span,,.markdown-body span.float-left span,✓ 支援,margin:13px 0 0
span,,.markdown-body span.float-right,✓ 支援,display:block; float:right; margin-left:13px; overflow:hidden
span,,.markdown-body span.float-right>span,✓ 支援,display:block; margin:13px auto 0; overflow:hidden; text-align:right
code,,".markdown-body code,.markdown-body tt",✓ 支援,padding:.2em .4em; margin:0; font-size:85%; white-space:break-spaces; background-color:var(--bgColor-neutral-muted); border-radius:6px
"br, code",,".markdown-body code br,.markdown-body tt br",⚠ 隱藏/禁用,display:none
"code, del",,.markdown-body del code,✓ 支援,text-decoration:inherit
samp,,.markdown-body samp,✓ 支援,font-size:85%
"code, pre",,.markdown-body pre code,✓ 支援,font-size:100%
"code, pre",,.markdown-body pre>code,✓ 支援,padding:0; margin:0; word-break:normal; white-space:pre; background:transparent; border:0
pre,,.markdown-body .highlight pre,✓ 支援,margin-bottom:0; word-break:normal
pre,,".markdown-body .highlight pre,.markdown-body pre",✓ 支援,padding:var(--base-size-16); overflow:auto; font-size:85%; line-height:1.45; color:var(--fgColor-default); background-color:var(--bgColor-muted); border-radius:6px
"code, pre",,".markdown-body pre code,.markdown-body pre tt",✓ 支援,display:inline; max-width:auto; padding:0; margin:0; overflow:visible; line-height:inherit; word-wrap:normal; background-color:transparent
"data, td, th",,".markdown-body .csv-data td,.markdown-body .csv-data th",✓ 支援,padding:5px; overflow:hidden; font-size:12px; line-height:1; text-align:left; white-space:nowrap
data,,.markdown-body .csv-data .blob-num,✓ 支援,padding:10px var(--base-size-8) 9px; text-align:right; background:var(--bgColor-default); border:0
"data, tr",,.markdown-body .csv-data tr,✓ 支援,border-top:0
"data, th",,.markdown-body .csv-data th,✓ 支援,"font-weight:var(--base-text-weight-semibold,600); background:var(--bgColor-muted); border-top:0"
data,data-footnote-ref,.markdown-body [data-footnote-ref]:before,✓ 支援,"content:""["""
data,data-footnote-ref,.markdown-body [data-footnote-ref]:after,✓ 支援,"content:""]"""
"ol, ul",,".markdown-body .footnotes ol,.markdown-body .footnotes ol ul",✓ 支援,padding-left:var(--base-size-16)
"ol, ul",,.markdown-body .footnotes ol ul,✓ 支援,display:inline-block; margin-top:var(--base-size-16)
li,,.markdown-body .footnotes li,✓ 支援,position:relative
li,,.markdown-body .footnotes li:target:before,⚠ 隱藏/禁用,"position:absolute; top:calc(var(--base-size-8) * -1); right:calc(var(--base-size-8) * -1); bottom:calc(var(--base-size-8) * -1); left:calc(var(--base-size-24) * -1); pointer-events:none; content:""""; border:2px solid var(--borderColor-accent-emphasis)"
li,,.markdown-body .footnotes li:target,✓ 支援,color:var(--fgColor-default)
data,,.markdown-body .footnotes .data-footnote-backref g-emoji,✓ 支援,font-family:monospace
body,,.markdown-body body:has(:modal),✓ 支援,padding-right:var(--dialog-scrollgutter)!important
s,,".markdown-body .pl-c1,.markdown-body .pl-s .pl-v",✓ 支援,color:var(--color-prettylights-syntax-constant)
s,,".markdown-body .pl-s .pl-s1,.markdown-body .pl-smi",✓ 支援,color:var(--color-prettylights-syntax-storage-modifier-import)
s,,".markdown-body .pl-pds,.markdown-body .pl-s,.markdown-body .pl-s .pl-pse .pl-s1,.markdown-body .pl-sr,.markdown-body .pl",✓ 支援,color:var(--color-prettylights-syntax-string)
