class名稱,分類,聊天室,角色介面,樣式
border-gray-200,顏色/背景/邊框,✓,✓,border-color:var(--color-gray-200)
border-gray-300,顏色/背景/邊框,✓,✓,border-color:var(--color-gray-300)
border-gray-600,顏色/背景/邊框,✓,✓,border-color:var(--color-gray-600)
border-gray-700,顏色/背景/邊框,✓,✓,border-color:var(--color-gray-700)
border-gray-950,顏色/背景/邊框,✓,✓,border-color:var(--color-gray-950)
border-none,顏色/背景/邊框,✓,✓,--tw-border-style:none; border-style:none
border-pink-100,顏色/背景/邊框,✓,✓,border-color:var(--color-pink-100)
border-pink-200,顏色/背景/邊框,✓,✓,border-color:var(--color-pink-200)
border-pink-50,顏色/背景/邊框,✓,✓,border-color:var(--color-pink-50)
border-primary,顏色/背景/邊框,✓,✓,border-color:var(--color-primary)
border-red-200,顏色/背景/邊框,✓,✓,border-color:var(--color-red-200)
border-red-500,顏色/背景/邊框,✓,✓,border-color:var(--color-red-500)
border-solid,顏色/背景/邊框,✓,✓,--tw-border-style:solid; border-style:solid
border-textarea-outline,顏色/背景/邊框,✓,✓,border-color:var(--color-textarea-outline)
border-transparent,顏色/背景/邊框,✓,✓,border-color:#0000
border-white,顏色/背景/邊框,✓,✓,border-color:var(--color-white)
border-yellow-500,顏色/背景/邊框,✓,✓,border-color:var(--color-yellow-500)
border-zinc-700,顏色/背景/邊框,✓,✓,border-color:var(--color-zinc-700)
border-zinc-800,顏色/背景/邊框,✓,✓,border-color:var(--color-zinc-800)
box-border,顏色/背景/邊框,✓,✓,box-sizing:border-box
caret-primary,顏色/背景/邊框,✓,✓,caret-color:var(--color-primary)
character-info-content-overlay,顏色/背景/邊框,✓,✓,"background:linear-gradient(#1a1b1b00,#1a1b1b 57.89%) | background:linear-gradient(#26272700,#262727 "
drop-shadow,顏色/背景/邊框,✓,✓,"--tw-drop-shadow-size:drop-shadow(0 1px 2px var(--tw-drop-shadow-color,#0000001a))drop-shadow(0 1px "
fade-in-0,顏色/背景/邊框,✓,✓,--tw-enter-opacity:0
fill-amber-500,顏色/背景/邊框,✓,✓,fill:var(--color-amber-500)
fill-current,顏色/背景/邊框,✓,✓,fill:currentColor
fill-dgray-400,顏色/背景/邊框,✓,✓,fill:var(--color-dgray-400)
fill-dgray-900,顏色/背景/邊框,✓,✓,fill:var(--color-dgray-900)
fill-error,顏色/背景/邊框,✓,✓,fill:var(--color-error)
fill-foreground,顏色/背景/邊框,✓,✓,fill:var(--color-foreground)
fill-pink-700,顏色/背景/邊框,✓,✓,fill:var(--color-pink-700)
fill-primary,顏色/背景/邊框,✓,✓,fill:var(--color-primary)
fill-red-500,顏色/背景/邊框,✓,✓,fill:var(--color-red-500)
fill-white,顏色/背景/邊框,✓,✓,fill:var(--color-white)
fill-yellow-500,顏色/背景/邊框,✓,✓,fill:var(--color-yellow-500)
no-default-apperance,顏色/背景/邊框,✓,✓,appearance:none!important; background:0 0!important
opacity-0,顏色/背景/邊框,✓,✓,opacity:0
opacity-10,顏色/背景/邊框,✓,✓,opacity:.1
opacity-100,顏色/背景/邊框,✓,✓,opacity:1
opacity-15,顏色/背景/邊框,✓,✓,opacity:.15
opacity-20,顏色/背景/邊框,✓,✓,opacity:.2
opacity-25,顏色/背景/邊框,✓,✓,opacity:.25
opacity-30,顏色/背景/邊框,✓,✓,opacity:.3
opacity-35,顏色/背景/邊框,✓,✓,opacity:.35
opacity-40,顏色/背景/邊框,✓,✓,opacity:.4
opacity-45,顏色/背景/邊框,✓,✓,opacity:.45
opacity-5,顏色/背景/邊框,✓,✓,opacity:.05
opacity-50,顏色/背景/邊框,✓,✓,opacity:.5
opacity-60,顏色/背景/邊框,✓,✓,opacity:.6
opacity-70,顏色/背景/邊框,✓,✓,opacity:.7
opacity-80,顏色/背景/邊框,✓,✓,opacity:.8
opacity-90,顏色/背景/邊框,✓,✓,opacity:.9
outline-dgray-700,顏色/背景/邊框,✓,✓,outline-color:var(--color-dgray-700)
outline-error,顏色/背景/邊框,✓,✓,outline-color:var(--color-error)
outline-none,顏色/背景/邊框,✓,✓,--tw-outline-style:none; outline-style:none
outline-textarea-outline,顏色/背景/邊框,✓,✓,outline-color:var(--color-textarea-outline)
outline-transparent,顏色/背景/邊框,✓,✓,outline-color:#0000
ring-offset-background,顏色/背景/邊框,✓,✓,--tw-ring-offset-color:var(--color-background)
ring-offset-dgray-900,顏色/背景/邊框,✓,✓,--tw-ring-offset-color:var(--color-dgray-900)
ring-primary,顏色/背景/邊框,✓,✓,--tw-ring-color:var(--color-primary)
ring-red-500,顏色/背景/邊框,✓,✓,--tw-ring-color:var(--color-red-500)
ring-transparent,顏色/背景/邊框,✓,✓,--tw-ring-color:transparent
ring-white,顏色/背景/邊框,✓,✓,--tw-ring-color:var(--color-white)
rounded,顏色/背景/邊框,✓,✓,border-radius:.25rem
rounded-2xl,顏色/背景/邊框,✓,✓,border-radius:var(--radius-2xl)
rounded-3xl,顏色/背景/邊框,✓,✓,border-radius:var(--radius-3xl)
rounded-full,顏色/背景/邊框,✓,✓,border-radius:3.40282e+38px
rounded-lg,顏色/背景/邊框,✓,✓,border-radius:var(--radius-lg)
rounded-md,顏色/背景/邊框,✓,✓,border-radius:var(--radius-md)
rounded-none,顏色/背景/邊框,✓,✓,border-radius:0
rounded-sm,顏色/背景/邊框,✓,✓,border-radius:var(--radius-sm)
rounded-xl,顏色/背景/邊框,✓,✓,border-radius:var(--radius-xl)
shadow,顏色/背景/邊框,✓,✓,"--tw-shadow:0 1px 3px 0 var(--tw-shadow-color,#0000001a),0 1px 2px -1px var(--tw-shadow-color,#00000"
shadow-black,顏色/背景/邊框,✓,✓,"--tw-shadow-color:#000 | --tw-shadow-color:color-mix(in oklab,var(--color-black)var(--tw-shadow-alph"
shadow-lg,顏色/背景/邊框,✓,✓,"--tw-shadow:0 10px 15px -3px var(--tw-shadow-color,#0000001a),0 4px 6px -4px var(--tw-shadow-color,#"
shadow-sm,顏色/背景/邊框,✓,✓,"--tw-shadow:0 1px 3px 0 var(--tw-shadow-color,#0000001a),0 1px 2px -1px var(--tw-shadow-color,#00000"
shadow-xs,顏色/背景/邊框,✓,✓,"--tw-shadow:0 1px 2px 0 var(--tw-shadow-color,#0000000d) | box-shadow:var(--tw-inset-shadow),var(--t"
swiper-button-disabled,顏色/背景/邊框,✓,✓,opacity:0; pointer-events:none
swiper-scrollbar-drag,顏色/背景/邊框,✓,✓,background:#fff; border-radius:9999px
transition-opacity,顏色/背景/邊框,✓,✓,"transition-property:opacity; transition-timing-function:var(--tw-ease,var(--default-transition-timin"
-mx-1,顯示/佈局,✓,✓,margin-inline:calc(var(--spacing)*-1)
-mx-2,顯示/佈局,✓,✓,margin-inline:calc(var(--spacing)*-2)
-mx-6,顯示/佈局,✓,✓,margin-inline:calc(var(--spacing)*-6)
-my-1,顯示/佈局,✓,✓,margin-block:calc(var(--spacing)*-1)
-my-3,顯示/佈局,✓,✓,margin-block:calc(var(--spacing)*-3)
animate-shimmer,顯示/佈局,✓,✓,position:relative; overflow:hidden
block,顯示/佈局,✓,✓,display:block
border-y,顯示/佈局,✓,✓,border-block-style:var(--tw-border-style); border-block-width:1px
col-span-2,顯示/佈局,✓,✓,grid-column:span 2/span 2
content-start,顯示/佈局,✓,✓,align-content:flex-start
contents,顯示/佈局,✓,✓,display:contents
flex,顯示/佈局,✓,✓,display:flex
flex-1,顯示/佈局,✓,✓,flex:1
flex-col,顯示/佈局,✓,✓,flex-direction:column
flex-col-reverse,顯示/佈局,✓,✓,flex-direction:column-reverse
flex-none,顯示/佈局,✓,✓,flex:none
flex-nowrap,顯示/佈局,✓,✓,flex-wrap:nowrap
flex-row,顯示/佈局,✓,✓,flex-direction:row
flex-row-reverse,顯示/佈局,✓,✓,flex-direction:row-reverse
flex-shrink,顯示/佈局,✓,✓,flex-shrink:1
flex-shrink-0,顯示/佈局,✓,✓,flex-shrink:0
flex-wrap,顯示/佈局,✓,✓,flex-wrap:wrap
grid,顯示/佈局,✓,✓,display:grid
grid-cols-1,顯示/佈局,✓,✓,"grid-template-columns:repeat(1,minmax(0,1fr))"
grid-cols-2,顯示/佈局,✓,✓,"grid-template-columns:repeat(2,minmax(0,1fr))"
grid-cols-3,顯示/佈局,✓,✓,"grid-template-columns:repeat(3,minmax(0,1fr))"
grid-cols-4,顯示/佈局,✓,✓,"grid-template-columns:repeat(4,minmax(0,1fr))"
grid-cols-5,顯示/佈局,✓,✓,"grid-template-columns:repeat(5,minmax(0,1fr))"
grow,顯示/佈局,✓,✓,flex-grow:1
grow-0,顯示/佈局,✓,✓,flex-grow:0
hidden,顯示/佈局,✓,✓,display:none
inline,顯示/佈局,✓,✓,display:inline
inline-block,顯示/佈局,✓,✓,display:inline-block
inline-flex,顯示/佈局,✓,✓,display:inline-flex
inset-x-0,顯示/佈局,✓,✓,inset-inline:calc(var(--spacing)*0)
invisible,顯示/佈局,✓,✓,visibility:hidden
items-end,顯示/佈局,✓,✓,align-items:flex-end
items-start,顯示/佈局,✓,✓,align-items:flex-start
justify-end,顯示/佈局,✓,✓,justify-content:flex-end
justify-start,顯示/佈局,✓,✓,justify-content:flex-start
line-clamp-2,顯示/佈局,✓,✓,-webkit-box-orient:vertical; display:-webkit-box; overflow:hidden | -webkit-line-clamp:2
line-clamp-4,顯示/佈局,✓,✓,-webkit-box-orient:vertical; display:-webkit-box; overflow:hidden | -webkit-line-clamp:4
line-clamp-6,顯示/佈局,✓,✓,-webkit-line-clamp:6; -webkit-box-orient:vertical; display:-webkit-box; overflow:hidden
mx-1,顯示/佈局,✓,✓,margin-inline:calc(var(--spacing)*1)
mx-2,顯示/佈局,✓,✓,margin-inline:calc(var(--spacing)*2)
mx-4,顯示/佈局,✓,✓,margin-inline:calc(var(--spacing)*4)
mx-auto,顯示/佈局,✓,✓,margin-inline:auto
my-1,顯示/佈局,✓,✓,margin-block:calc(var(--spacing)*1)
my-2,顯示/佈局,✓,✓,margin-block:calc(var(--spacing)*2)
my-3,顯示/佈局,✓,✓,margin-block:calc(var(--spacing)*3)
my-4,顯示/佈局,✓,✓,margin-block:calc(var(--spacing)*4)
my-6,顯示/佈局,✓,✓,margin-block:calc(var(--spacing)*6)
official-creator,顯示/佈局,✓,✓,cursor:pointer; align-items:center; gap:calc(var(--spacing)*1); border-radius:var(--radius-md); bord
outline-hidden,顯示/佈局,✓,✓,--tw-outline-style:none; outline-style:none | outline-offset:2px; outline:2px solid #0000
overflow-hidden,顯示/佈局,✓,✓,overflow:hidden
overflow-x-hidden,顯示/佈局,✓,✓,overflow-x:hidden
overflow-y-hidden,顯示/佈局,✓,✓,overflow-y:hidden
px-0,顯示/佈局,✓,✓,padding-inline:calc(var(--spacing)*0)
px-1,顯示/佈局,✓,✓,padding-inline:calc(var(--spacing)*1)
px-10,顯示/佈局,✓,✓,padding-inline:calc(var(--spacing)*10)
px-2,顯示/佈局,✓,✓,padding-inline:calc(var(--spacing)*2)
px-3,顯示/佈局,✓,✓,padding-inline:calc(var(--spacing)*3)
px-4,顯示/佈局,✓,✓,padding-inline:calc(var(--spacing)*4)
px-5,顯示/佈局,✓,✓,padding-inline:calc(var(--spacing)*5)
px-6,顯示/佈局,✓,✓,padding-inline:calc(var(--spacing)*6)
px-8,顯示/佈局,✓,✓,padding-inline:calc(var(--spacing)*8)
px-9,顯示/佈局,✓,✓,padding-inline:calc(var(--spacing)*9)
py-0,顯示/佈局,✓,✓,padding-block:calc(var(--spacing)*0)
py-1,顯示/佈局,✓,✓,padding-block:calc(var(--spacing)*1)
py-10,顯示/佈局,✓,✓,padding-block:calc(var(--spacing)*10)
py-12,顯示/佈局,✓,✓,padding-block:calc(var(--spacing)*12)
py-16,顯示/佈局,✓,✓,padding-block:calc(var(--spacing)*16)
py-2,顯示/佈局,✓,✓,padding-block:calc(var(--spacing)*2)
py-20,顯示/佈局,✓,✓,padding-block:calc(var(--spacing)*20)
py-3,顯示/佈局,✓,✓,padding-block:calc(var(--spacing)*3)
py-4,顯示/佈局,✓,✓,padding-block:calc(var(--spacing)*4)
py-5,顯示/佈局,✓,✓,padding-block:calc(var(--spacing)*5)
py-6,顯示/佈局,✓,✓,padding-block:calc(var(--spacing)*6)
py-7,顯示/佈局,✓,✓,padding-block:calc(var(--spacing)*7)
py-8,顯示/佈局,✓,✓,padding-block:calc(var(--spacing)*8)
related-character-grid,顯示/佈局,✓,✓,"grid-template-columns:repeat(4,minmax(150px,180px)) | grid-template-columns:repeat(3,minmax(150px,18"
scroll-my-1,顯示/佈局,✓,✓,scroll-margin-block:calc(var(--spacing)*1)
self-end,顯示/佈局,✓,✓,align-self:flex-end
self-start,顯示/佈局,✓,✓,align-self:flex-start
shrink,顯示/佈局,✓,✓,flex-shrink:1
shrink-0,顯示/佈局,✓,✓,flex-shrink:0
snapshot-wall-masonry,顯示/佈局,✓,✓,width:auto; margin-left:-16px; display:flex
sr-only,顯示/佈局,✓,✓,clip-path:inset(50%); white-space:nowrap; border-width:0; width:1px; height:1px; margin:-1px; paddin
table,顯示/佈局,✓,✓,display:table
transition,顯示/佈局,✓,✓,"transition-property:color,background-color,border-color,outline-color,text-decoration-color,fill,str"
truncate,顯示/佈局,✓,✓,text-overflow:ellipsis; white-space:nowrap; overflow:hidden
