class名稱,分類,聊天室,角色介面,樣式
pb-0,定位,✓,✓,padding-bottom:calc(var(--spacing)*0)
pb-1,定位,✓,✓,padding-bottom:calc(var(--spacing)*1)
pb-10,定位,✓,✓,padding-bottom:calc(var(--spacing)*10)
pb-16,定位,✓,✓,padding-bottom:calc(var(--spacing)*16)
pb-2,定位,✓,✓,padding-bottom:calc(var(--spacing)*2)
pb-20,定位,✓,✓,padding-bottom:calc(var(--spacing)*20)
pb-3,定位,✓,✓,padding-bottom:calc(var(--spacing)*3)
pb-32,定位,✓,✓,padding-bottom:calc(var(--spacing)*32)
pb-4,定位,✓,✓,padding-bottom:calc(var(--spacing)*4)
pb-5,定位,✓,✓,padding-bottom:calc(var(--spacing)*5)
pb-6,定位,✓,✓,padding-bottom:calc(var(--spacing)*6)
pb-7,定位,✓,✓,padding-bottom:calc(var(--spacing)*7)
pb-8,定位,✓,✓,padding-bottom:calc(var(--spacing)*8)
pl-0,定位,✓,✓,padding-left:calc(var(--spacing)*0)
pl-1,定位,✓,✓,padding-left:calc(var(--spacing)*1)
pl-10,定位,✓,✓,padding-left:calc(var(--spacing)*10)
pl-2,定位,✓,✓,padding-left:calc(var(--spacing)*2)
pl-3,定位,✓,✓,padding-left:calc(var(--spacing)*3)
pl-4,定位,✓,✓,padding-left:calc(var(--spacing)*4)
pl-5,定位,✓,✓,padding-left:calc(var(--spacing)*5)
pl-6,定位,✓,✓,padding-left:calc(var(--spacing)*6)
pl-8,定位,✓,✓,padding-left:calc(var(--spacing)*8)
pr-0,定位,✓,✓,padding-right:calc(var(--spacing)*0)
pr-1,定位,✓,✓,padding-right:calc(var(--spacing)*1)
pr-10,定位,✓,✓,padding-right:calc(var(--spacing)*10)
pr-12,定位,✓,✓,padding-right:calc(var(--spacing)*12)
pr-16,定位,✓,✓,padding-right:calc(var(--spacing)*16)
pr-2,定位,✓,✓,padding-right:calc(var(--spacing)*2)
pr-20,定位,✓,✓,padding-right:calc(var(--spacing)*20)
pr-3,定位,✓,✓,padding-right:calc(var(--spacing)*3)
pr-4,定位,✓,✓,padding-right:calc(var(--spacing)*4)
pr-5,定位,✓,✓,padding-right:calc(var(--spacing)*5)
pr-6,定位,✓,✓,padding-right:calc(var(--spacing)*6)
pr-8,定位,✓,✓,padding-right:calc(var(--spacing)*8)
pr-9,定位,✓,✓,padding-right:calc(var(--spacing)*9)
pt-0,定位,✓,✓,padding-top:calc(var(--spacing)*0)
pt-1,定位,✓,✓,padding-top:calc(var(--spacing)*1)
pt-10,定位,✓,✓,padding-top:calc(var(--spacing)*10)
pt-12,定位,✓,✓,padding-top:calc(var(--spacing)*12)
pt-14,定位,✓,✓,padding-top:calc(var(--spacing)*14)
pt-2,定位,✓,✓,padding-top:calc(var(--spacing)*2)
pt-3,定位,✓,✓,padding-top:calc(var(--spacing)*3)
pt-4,定位,✓,✓,padding-top:calc(var(--spacing)*4)
pt-5,定位,✓,✓,padding-top:calc(var(--spacing)*5)
pt-6,定位,✓,✓,padding-top:calc(var(--spacing)*6)
pt-7,定位,✓,✓,padding-top:calc(var(--spacing)*7)
pt-8,定位,✓,✓,padding-top:calc(var(--spacing)*8)
relative,定位,✓,✓,position:relative
right-0,定位,✓,✓,right:calc(var(--spacing)*0)
right-1,定位,✓,✓,right:calc(var(--spacing)*1)
right-16,定位,✓,✓,right:calc(var(--spacing)*16)
right-2,定位,✓,✓,right:calc(var(--spacing)*2)
right-3,定位,✓,✓,right:calc(var(--spacing)*3)
right-4,定位,✓,✓,right:calc(var(--spacing)*4)
right-5,定位,✓,✓,right:calc(var(--spacing)*5)
right-6,定位,✓,✓,right:calc(var(--spacing)*6)
ring,定位,✓,✓,"--tw-ring-shadow:var(--tw-ring-inset,)0 0 0 calc(1px + var(--tw-ring-offset-width))var(--tw-ring-col"
ring-0,定位,✓,✓,"--tw-ring-shadow:var(--tw-ring-inset,)0 0 0 calc(0px + var(--tw-ring-offset-width))var(--tw-ring-col"
ring-1,定位,✓,✓,"box-shadow:var(--tw-inset-shadow),var(--tw-inset-ring-shadow),var(--tw-ring-offset-shadow),var(--tw-"
ring-2,定位,✓,✓,"--tw-ring-shadow:var(--tw-ring-inset,)0 0 0 calc(2px + var(--tw-ring-offset-width))var(--tw-ring-col"
ring-4,定位,✓,✓,"box-shadow:var(--tw-inset-shadow),var(--tw-inset-ring-shadow),var(--tw-ring-offset-shadow),var(--tw-"
ring-offset-2,定位,✓,✓,"--tw-ring-offset-width:2px; --tw-ring-offset-shadow:var(--tw-ring-inset,)0 0 0 var(--tw-ring-offset-"
rounded-b-lg,定位,✓,✓,border-bottom-right-radius:var(--radius-lg); border-bottom-left-radius:var(--radius-lg)
rounded-l-full,定位,✓,✓,border-top-left-radius:3.40282e+38px; border-bottom-left-radius:3.40282e+38px
rounded-l-lg,定位,✓,✓,border-top-left-radius:var(--radius-lg); border-bottom-left-radius:var(--radius-lg)
rounded-l-md,定位,✓,✓,border-top-left-radius:var(--radius-md); border-bottom-left-radius:var(--radius-md)
rounded-l-none,定位,✓,✓,border-top-left-radius:0; border-bottom-left-radius:0
rounded-r-full,定位,✓,✓,border-top-right-radius:3.40282e+38px; border-bottom-right-radius:3.40282e+38px
rounded-r-md,定位,✓,✓,border-top-right-radius:var(--radius-md); border-bottom-right-radius:var(--radius-md)
rounded-r-none,定位,✓,✓,border-bottom-right-radius:0
rounded-t-2xl,定位,✓,✓,border-top-left-radius:var(--radius-2xl); border-top-right-radius:var(--radius-2xl)
rounded-t-3xl,定位,✓,✓,border-top-left-radius:var(--radius-3xl); border-top-right-radius:var(--radius-3xl)
rounded-t-lg,定位,✓,✓,border-top-left-radius:var(--radius-lg); border-top-right-radius:var(--radius-lg)
rounded-t-xl,定位,✓,✓,border-top-left-radius:var(--radius-xl); border-top-right-radius:var(--radius-xl)
rounded-tl-lg,定位,✓,✓,border-top-left-radius:var(--radius-lg)
rounded-tl-none,定位,✓,✓,border-top-left-radius:0
rounded-tl-sm,定位,✓,✓,border-top-left-radius:var(--radius-sm)
rounded-tr-none,定位,✓,✓,border-top-right-radius:0
rounded-tr-sm,定位,✓,✓,border-top-right-radius:var(--radius-sm)
shadow-2xl,定位,✓,✓,"box-shadow:var(--tw-inset-shadow),var(--tw-inset-ring-shadow),var(--tw-ring-offset-shadow),var(--tw-"
