來源,變數名稱,值
10128161fe71f379.css, --color-blue-800,oklch(42.4% .199 265.638)
10128161fe71f379.css, --color-blue-950,oklch(28.2% .091 267.935)
10128161fe71f379.css, --color-indigo-400,oklch(67.3% .182 276.935)
10128161fe71f379.css, --color-indigo-500,oklch(58.5% .233 277.117)
10128161fe71f379.css, --color-purple-300,oklch(82.7% .119 306.383)
10128161fe71f379.css, --color-purple-400,oklch(71.4% .203 305.504)
10128161fe71f379.css, --color-purple-500,oklch(62.7% .265 303.9)
10128161fe71f379.css, --color-purple-600,oklch(55.8% .288 302.321)
10128161fe71f379.css, --color-pink-50,oklch(97.1% .014 343.198)
10128161fe71f379.css, --color-pink-100,oklch(94.8% .028 342.258)
10128161fe71f379.css, --color-pink-200,oklch(89.9% .061 343.231)
10128161fe71f379.css, --color-pink-300,oklch(82.3% .12 346.018)
10128161fe71f379.css, --color-pink-400,oklch(71.8% .202 349.761)
10128161fe71f379.css, --color-pink-500,oklch(65.6% .241 354.308)
10128161fe71f379.css, --color-pink-700,oklch(52.5% .223 3.958)
10128161fe71f379.css, --color-rose-50,oklch(96.9% .015 12.422)
10128161fe71f379.css, --color-rose-100,oklch(94.1% .03 12.58)
10128161fe71f379.css, --color-rose-200,oklch(89.2% .058 10.001)
10128161fe71f379.css, --color-rose-300,oklch(81% .117 11.638)
10128161fe71f379.css, --color-rose-400,oklch(71.2% .194 13.428)
10128161fe71f379.css, --color-rose-500,oklch(64.5% .246 16.439)
10128161fe71f379.css, --color-rose-600,oklch(58.6% .253 17.585)
10128161fe71f379.css, --color-gray-50,oklch(98.5% .002 247.839)
10128161fe71f379.css, --color-gray-100,oklch(96.7% .003 264.542)
10128161fe71f379.css, --color-gray-200,oklch(92.8% .006 264.531)
10128161fe71f379.css, --color-gray-300,oklch(87.2% .01 258.338)
10128161fe71f379.css, --color-gray-400,oklch(70.7% .022 261.325)
10128161fe71f379.css, --color-gray-500,oklch(55.1% .027 264.364)
10128161fe71f379.css, --color-gray-600,oklch(44.6% .03 256.802)
10128161fe71f379.css, --color-gray-700,oklch(37.3% .034 259.733)
10128161fe71f379.css, --color-gray-800,oklch(27.8% .033 256.848)
10128161fe71f379.css, --color-gray-900,oklch(21% .034 264.665)
10128161fe71f379.css, --color-gray-950,oklch(13% .028 261.692)
10128161fe71f379.css, --color-zinc-100,oklch(96.7% .001 286.375)
10128161fe71f379.css, --color-zinc-200,oklch(92% .004 286.32)
10128161fe71f379.css, --color-zinc-300,oklch(87.1% .006 286.286)
10128161fe71f379.css, --color-zinc-400,oklch(70.5% .015 286.067)
10128161fe71f379.css, --color-zinc-500,oklch(55.2% .016 285.938)
10128161fe71f379.css, --color-zinc-700,oklch(37% .013 285.805)
10128161fe71f379.css, --color-zinc-800,oklch(27.4% .006 286.033)
10128161fe71f379.css, --color-zinc-900,oklch(21% .006 285.885)
10128161fe71f379.css, --color-zinc-950,oklch(14.1% .005 285.823)
10128161fe71f379.css, --color-black,#000
10128161fe71f379.css, --color-white,#fff
10128161fe71f379.css, --spacing,.25rem
10128161fe71f379.css, --container-xs,20rem
10128161fe71f379.css, --container-sm,24rem
10128161fe71f379.css, --container-md,28rem
10128161fe71f379.css, --container-lg,32rem
