class 名稱,分類,樣式（全部值）,使用範例
animate__fadeInTopLeft,淡入淡出 Fade,-webkit-animation-name:fadeInTopLeft; animation-name:fadeInTopLeft,"class=""animate__fadeInTopLeft"""
animate__fadeInTopRight,淡入淡出 Fade,-webkit-animation-name:fadeInTopRight; animation-name:fadeInTopRight,"class=""animate__fadeInTopRight"""
animate__fadeInUp,淡入淡出 Fade,-webkit-animation-name:fadeInUp; animation-name:fadeInUp,"class=""animate__fadeInUp"""
animate__fadeInUpBig,淡入淡出 Fade,-webkit-animation-name:fadeInUpBig; animation-name:fadeInUpBig,"class=""animate__fadeInUpBig"""
animate__fadeOut,淡入淡出 Fade,-webkit-animation-name:fadeOut; animation-name:fadeOut,"class=""animate__fadeOut"""
animate__fadeOutBottomLeft,淡入淡出 Fade,-webkit-animation-name:fadeOutBottomLeft; animation-name:fadeOutBottomLeft,"class=""animate__fadeOutBottomLeft"""
animate__fadeOutBottomRight,淡入淡出 Fade,-webkit-animation-name:fadeOutBottomRight; animation-name:fadeOutBottomRight,"class=""animate__fadeOutBottomRight"""
animate__fadeOutDown,淡入淡出 Fade,-webkit-animation-name:fadeOutDown; animation-name:fadeOutDown,"class=""animate__fadeOutDown"""
animate__fadeOutDownBig,淡入淡出 Fade,-webkit-animation-name:fadeOutDownBig; animation-name:fadeOutDownBig,"class=""animate__fadeOutDownBig"""
animate__fadeOutLeft,淡入淡出 Fade,-webkit-animation-name:fadeOutLeft; animation-name:fadeOutLeft,"class=""animate__fadeOutLeft"""
animate__fadeOutLeftBig,淡入淡出 Fade,-webkit-animation-name:fadeOutLeftBig; animation-name:fadeOutLeftBig,"class=""animate__fadeOutLeftBig"""
animate__fadeOutRight,淡入淡出 Fade,-webkit-animation-name:fadeOutRight; animation-name:fadeOutRight,"class=""animate__fadeOutRight"""
animate__fadeOutRightBig,淡入淡出 Fade,-webkit-animation-name:fadeOutRightBig; animation-name:fadeOutRightBig,"class=""animate__fadeOutRightBig"""
animate__fadeOutTopLeft,淡入淡出 Fade,-webkit-animation-name:fadeOutTopLeft; animation-name:fadeOutTopLeft,"class=""animate__fadeOutTopLeft"""
animate__fadeOutTopRight,淡入淡出 Fade,-webkit-animation-name:fadeOutTopRight; animation-name:fadeOutTopRight,"class=""animate__fadeOutTopRight"""
animate__fadeOutUp,淡入淡出 Fade,-webkit-animation-name:fadeOutUp; animation-name:fadeOutUp,"class=""animate__fadeOutUp"""
animate__fadeOutUpBig,淡入淡出 Fade,-webkit-animation-name:fadeOutUpBig; animation-name:fadeOutUpBig,"class=""animate__fadeOutUpBig"""
animate__slideInDown,滑動 Slide,-webkit-animation-name:slideInDown; animation-name:slideInDown,"class=""animate__slideInDown"""
animate__slideInLeft,滑動 Slide,-webkit-animation-name:slideInLeft; animation-name:slideInLeft,"class=""animate__slideInLeft"""
animate__slideInRight,滑動 Slide,-webkit-animation-name:slideInRight; animation-name:slideInRight,"class=""animate__slideInRight"""
animate__slideInUp,滑動 Slide,-webkit-animation-name:slideInUp; animation-name:slideInUp,"class=""animate__slideInUp"""
