class名稱,分類,聊天室,角色介面,使用範例,樣式
animate__fadeInRightBig,淡入淡出 Fade,✓,✓,"class=""animate__fadeInRightBig""",-webkit-animation-name:fadeInRightBig; animation-name:fadeInRightBig
animate__fadeInTopLeft,淡入淡出 Fade,✓,✓,"class=""animate__fadeInTopLeft""",-webkit-animation-name:fadeInTopLeft; animation-name:fadeInTopLeft
animate__fadeInTopRight,淡入淡出 Fade,✓,✓,"class=""animate__fadeInTopRight""",-webkit-animation-name:fadeInTopRight; animation-name:fadeInTopRight
animate__fadeInUp,淡入淡出 Fade,✓,✓,"class=""animate__fadeInUp""",-webkit-animation-name:fadeInUp; animation-name:fadeInUp
animate__fadeInUpBig,淡入淡出 Fade,✓,✓,"class=""animate__fadeInUpBig""",-webkit-animation-name:fadeInUpBig; animation-name:fadeInUpBig
animate__fadeOut,淡入淡出 Fade,✓,✓,"class=""animate__fadeOut""",-webkit-animation-name:fadeOut; animation-name:fadeOut
animate__fadeOutBottomLeft,淡入淡出 Fade,✓,✓,"class=""animate__fadeOutBottomLeft""",-webkit-animation-name:fadeOutBottomLeft; animation-name:fadeOutBottomLeft
animate__fadeOutBottomRight,淡入淡出 Fade,✓,✓,"class=""animate__fadeOutBottomRight""",-webkit-animation-name:fadeOutBottomRight; animation-name:fadeOutBottomRight
animate__fadeOutDown,淡入淡出 Fade,✓,✓,"class=""animate__fadeOutDown""",-webkit-animation-name:fadeOutDown; animation-name:fadeOutDown
animate__fadeOutDownBig,淡入淡出 Fade,✓,✓,"class=""animate__fadeOutDownBig""",-webkit-animation-name:fadeOutDownBig; animation-name:fadeOutDownBig
animate__fadeOutLeft,淡入淡出 Fade,✓,✓,"class=""animate__fadeOutLeft""",-webkit-animation-name:fadeOutLeft; animation-name:fadeOutLeft
animate__fadeOutLeftBig,淡入淡出 Fade,✓,✓,"class=""animate__fadeOutLeftBig""",-webkit-animation-name:fadeOutLeftBig; animation-name:fadeOutLeftBig
animate__fadeOutRight,淡入淡出 Fade,✓,✓,"class=""animate__fadeOutRight""",-webkit-animation-name:fadeOutRight; animation-name:fadeOutRight
animate__fadeOutRightBig,淡入淡出 Fade,✓,✓,"class=""animate__fadeOutRightBig""",-webkit-animation-name:fadeOutRightBig; animation-name:fadeOutRightBig
animate__fadeOutTopLeft,淡入淡出 Fade,✓,✓,"class=""animate__fadeOutTopLeft""",-webkit-animation-name:fadeOutTopLeft; animation-name:fadeOutTopLeft
animate__fadeOutTopRight,淡入淡出 Fade,✓,✓,"class=""animate__fadeOutTopRight""",-webkit-animation-name:fadeOutTopRight; animation-name:fadeOutTopRight
animate__fadeOutUp,淡入淡出 Fade,✓,✓,"class=""animate__fadeOutUp""",-webkit-animation-name:fadeOutUp; animation-name:fadeOutUp
animate__fadeOutUpBig,淡入淡出 Fade,✓,✓,"class=""animate__fadeOutUpBig""",-webkit-animation-name:fadeOutUpBig; animation-name:fadeOutUpBig
animate__slideInDown,滑動 Slide,✓,✓,"class=""animate__slideInDown""",-webkit-animation-name:slideInDown; animation-name:slideInDown
animate__slideInLeft,滑動 Slide,✓,✓,"class=""animate__slideInLeft""",-webkit-animation-name:slideInLeft; animation-name:slideInLeft
animate__slideInRight,滑動 Slide,✓,✓,"class=""animate__slideInRight""",-webkit-animation-name:slideInRight; animation-name:slideInRight
animate__slideInUp,滑動 Slide,✓,✓,"class=""animate__slideInUp""",-webkit-animation-name:slideInUp; animation-name:slideInUp
animate__slideOutDown,滑動 Slide,✓,✓,"class=""animate__slideOutDown""",-webkit-animation-name:slideOutDown; animation-name:slideOutDown
animate__slideOutLeft,滑動 Slide,✓,✓,"class=""animate__slideOutLeft""",-webkit-animation-name:slideOutLeft; animation-name:slideOutLeft
animate__slideOutRight,滑動 Slide,✓,✓,"class=""animate__slideOutRight""",-webkit-animation-name:slideOutRight; animation-name:slideOutRight
animate__slideOutUp,滑動 Slide,✓,✓,"class=""animate__slideOutUp""",-webkit-animation-name:slideOutUp; animation-name:slideOutUp
animate__rollIn,滾動 Roll,✓,✓,"class=""animate__rollIn""",-webkit-animation-name:rollIn; animation-name:rollIn
animate__rollOut,滾動 Roll,✓,✓,"class=""animate__rollOut""",-webkit-animation-name:rollOut; animation-name:rollOut
animate__hinge,特殊進出場,✓,✓,"class=""animate__hinge""",-webkit-animation-duration:calc(1s * 2); animation-duration:calc(1s * 2); -webki
animate__jackInTheBox,特殊進出場,✓,✓,"class=""animate__jackInTheBox""",-webkit-animation-name:jackInTheBox; animation-name:jackInTheBox
animate__zoomIn,縮放 Zoom,✓,✓,"class=""animate__zoomIn""",-webkit-animation-name:zoomIn; animation-name:zoomIn
